state,district,year,crime_rate_per_100k
Andaman and Nicobar Islands,,2022,114.4
Andhra Pradesh,,2022,299.0
Arunachal Pradesh,,2022,148.8
Assam,,2022,167.1
Bihar,,2022,168.1
Chandigarh,,2022,240.5
Chhattisgarh,,2022,246.5
Dadra and Nagar Haveli and Daman and Diu,,2022,98.6
Delhi,,2022,1424.1
Goa,,2022,172.8
Gujarat,,2022,189.8
Haryana,,2022,418.6
Himachal Pradesh,,2022,177.8
Jammu and Kashmir,,2022,191.4
Jharkhand,,2022,124.5
Karnataka,,2022,192.1
Kerala,,2022,661.0
Ladakh,,2022,146.8
Lakshadweep,,2022,92.8
Madhya Pradesh,,2022,347.6
Maharashtra,,2022,297.5
Manipur,,2022,94.6
Meghalaya,,2022,87.6
Mizoram,,2022,291.6
Nagaland,,2022,45.4
Odisha,,2022,311.2
Puducherry,,2022,199.7
Punjab,,2022,142.9
Rajasthan,,2022,293.5
Sikkim,,2022,80.3
Tamil Nadu,,2022,252.8
Telangana,,2022,400.1
Tripura,,2022,88.7
Uttar Pradesh,,2022,171.6
Uttarakhand,,2022,146.8
West Bengal,,2022,158.5
